?,?,2.310,0,0.5380,6.5750,65.20,4.0900,1,296.0,15.30,396.90,4.98,24.00
0.02731,?,7.070,?,0.4690,6.4210,78.90,4.9671,?,242.0,?,?,9.14,21.60
0.02729,?,7.070,0,?,?,?,?,2,242.0,?,392.83,4.03,34.70
0.03237,0.00,?,0,0.4580,6.9980,45.80,6.0622,3,222.0,?,394.63,?,33.40
?,0.00,2.180,0,?,?,54.20,6.0622,3,222.0,18.70,396.90,5.33,36.20
0.02985,?,2.180,0,0.4580,?,?,?,?,?,?,394.12,?,28.70
?,?,7.870,0,0.5240,6.0120,66.60,5.5605,?,311.0,15.20,395.60,?,22.90
0.14455,?,7.870,?,?,6.1720,96.10,5.9505,5,?,?,396.90,?,27.10
?,?,?,0,?,5.6310,?,6.0821,5,?,15.20,?,29.93,16.50
0.17004,12.50,7.870,0,0.5240,6.0040,85.90,6.5921,5,311.0,15.20,386.71,?,18.90
?,12.50,7.870,0,0.5240,?,94.30,6.3467,5,?,?,392.52,?,15.00
0.11747,12.50,7.870,0,?,6.0090,?,6.2267,5,?,15.20,396.90,13.27,18.90
0.09378,12.50,7.870,0,0.5240,?,39.00,5.4509,5,311.0,15.20,390.50,15.71,21.70
?,?,8.140,?,0.5380,5.9490,61.80,4.7075,?,?,21.00,396.90,8.26,20.40
0.63796,0.00,8.140,?,?,6.0960,84.50,4.4619,4,307.0,21.00,380.02,10.26,18.20
0.62739,?,?,0,?,5.8340,?,?,4,307.0,?,?,8.47,19.90
?,0.00,8.140,?,0.5380,5.9350,29.30,4.4986,4,?,?,386.85,6.58,23.10
?,?,8.140,0,?,5.9900,?,?,?,?,21.00,386.75,?,17.50
0.80271,?,8.140,0,0.5380,?,?,3.7965,4,307.0,21.00,288.99,?,20.20
?,0.00,8.140,?,0.5380,5.7270,69.50,?,4,?,21.00,390.95,11.28,18.20
?,0.00,8.140,0,?,5.5700,98.10,?,4,307.0,21.00,376.57,21.02,13.60
?,0.00,8.140,0,0.5380,?,89.20,?,4,307.0,21.00,392.53,?,19.60
1.23247,?,8.140,0,?,?,?,?,4,307.0,21.00,396.90,?,15.20
?,0.00,8.140,0,0.5380,5.8130,100.00,?,4,307.0,?,394.54,19.88,14.50
0.75026,0.00,8.140,0,?,?,94.10,4.3996,4,307.0,21.00,394.33,16.30,15.60
0.84054,0.00,8.140,0,0.5380,5.5990,?,4.4546,4,?,?,?,16.51,13.90
0.67191,0.00,?,0,?,5.8130,90.30,4.6820,4,307.0,?,376.88,14.81,16.60
0.95577,?,?,?,0.5380,?,88.80,?,4,307.0,?,306.38,17.28,14.80
0.77299,0.00,8.140,0,0.5380,?,?,4.4547,4,?,21.00,387.94,12.80,18.40
1.00245,0.00,8.140,0,?,6.6740,?,?,?,307.0,21.00,380.23,?,21.00
?,?,8.140,0,0.5380,?,94.10,?,4,?,21.00,?,22.60,12.70
1.35472,0.00,8.140,0,?,6.0720,?,4.1750,4,307.0,21.00,?,13.04,14.50
1.38799,?,8.140,?,?,5.9500,?,3.9900,4,?,21.00,232.60,27.71,13.20
1.15172,?,?,0,0.5380,5.7010,95.00,3.7872,4,?,21.00,?,18.35,13.10
1.61282,?,8.140,0,0.5380,?,96.90,3.7598,4,307.0,21.00,248.31,20.34,13.50
0.06417,0.00,5.960,0,0.4990,5.9330,68.20,3.3603,?,279.0,?,396.90,9.68,18.90
0.09744,0.00,5.960,?,0.4990,?,61.40,?,5,279.0,?,?,?,20.00
0.08014,0.00,?,0,0.4990,?,41.50,?,5,279.0,?,396.90,8.77,21.00
0.17505,?,?,?,?,5.9660,30.20,3.8473,5,?,?,?,?,24.70
0.02763,75.00,2.950,?,0.4280,6.5950,21.80,5.4011,3,252.0,18.30,395.63,4.32,30.80
0.03359,75.00,?,0,0.4280,7.0240,15.80,5.4011,?,252.0,18.30,395.62,?,34.90
?,0.00,?,0,0.4480,6.7700,2.90,5.7209,?,?,17.90,?,4.84,26.60
0.14150,0.00,6.910,0,0.4480,?,6.60,?,?,?,?,?,?,25.30
0.15936,0.00,?,0,0.4480,6.2110,6.50,5.7209,3,233.0,?,394.46,7.44,24.70
