0.00632,18.00,?,?,0.5380,6.5750,65.20,?,?,?,15.30,396.90,?,24.00
0.02731,?,7.070,0,0.4690,6.4210,?,4.9671,2,242.0,17.80,396.90,9.14,21.60
0.02729,0.00,7.070,0,0.4690,7.1850,61.10,4.9671,2,242.0,17.80,392.83,4.03,34.70
0.03237,0.00,2.180,0,0.4580,6.9980,?,6.0622,3,222.0,?,394.63,2.94,33.40
0.06905,0.00,2.180,0,0.4580,7.1470,54.20,6.0622,?,222.0,?,396.90,5.33,36.20
0.02985,0.00,2.180,0,0.4580,6.4300,58.70,?,3,222.0,?,394.12,5.21,28.70
0.08829,?,7.870,0,?,?,66.60,5.5605,5,311.0,15.20,395.60,12.43,22.90
0.14455,12.50,7.870,0,?,6.1720,96.10,5.9505,5,311.0,15.20,396.90,19.15,27.10
0.21124,12.50,7.870,0,0.5240,5.6310,100.00,6.0821,5,311.0,15.20,?,29.93,16.50
0.17004,12.50,7.870,0,0.5240,6.0040,85.90,6.5921,5,311.0,15.20,386.71,?,18.90
0.22489,12.50,7.870,0,0.5240,?,94.30,6.3467,5,311.0,15.20,392.52,20.45,15.00
?,12.50,7.870,0,0.5240,6.0090,?,6.2267,5,311.0,15.20,?,?,18.90
0.09378,12.50,7.870,0,0.5240,5.8890,39.00,5.4509,5,311.0,15.20,390.50,15.71,21.70
0.62976,?,8.140,0,0.5380,5.9490,61.80,?,4,307.0,?,?,8.26,20.40
?,0.00,?,0,0.5380,6.0960,84.50,4.4619,4,307.0,21.00,380.02,10.26,18.20
0.62739,0.00,8.140,0,0.5380,5.8340,56.50,4.4986,4,307.0,21.00,395.62,8.47,19.90
?,0.00,?,0,0.5380,5.9350,?,4.4986,?,307.0,21.00,386.85,?,23.10
0.78420,0.00,8.140,0,?,?,?,4.2579,4,307.0,21.00,386.75,14.67,17.50
0.80271,?,8.140,0,0.5380,5.4560,36.60,3.7965,?,?,21.00,288.99,?,20.20
0.72580,0.00,?,0,0.5380,5.7270,69.50,?,4,307.0,21.00,?,11.28,18.20
1.25179,?,8.140,0,0.5380,?,?,3.7979,?,307.0,21.00,376.57,21.02,13.60
0.85204,0.00,8.140,0,?,?,89.20,4.0123,4,307.0,?,392.53,13.83,19.60
?,?,?,0,0.5380,?,91.70,3.9769,4,?,21.00,396.90,18.72,15.20
0.98843,?,?,0,0.5380,5.8130,100.00,4.0952,4,307.0,21.00,394.54,19.88,14.50
0.75026,0.00,8.140,0,0.5380,5.9240,94.10,?,4,307.0,21.00,394.33,16.30,15.60
0.84054,0.00,8.140,0,0.5380,5.5990,85.70,4.4546,4,307.0,21.00,303.42,?,13.90
0.67191,0.00,8.140,0,0.5380,?,90.30,4.6820,?,307.0,?,?,14.81,16.60
?,0.00,8.140,0,0.5380,6.0470,88.80,4.4534,4,307.0,?,306.38,17.28,14.80
0.77299,0.00,8.140,0,0.5380,6.4950,?,4.4547,?,307.0,21.00,?,12.80,18.40
1.00245,0.00,8.140,?,0.5380,6.6740,87.30,4.2390,4,307.0,21.00,380.23,11.98,21.00
1.13081,0.00,?,0,0.5380,5.7130,94.10,4.2330,4,307.0,21.00,360.17,22.60,12.70
