540.0,0.0,0.0,162.0,2.5,?,?,28,79.99
?,?,0.0,?,2.5,1055.0,?,?,61.89
?,?,?,?,?,?,?,?,40.27
332.5,142.5,0.0,?,?,?,?,?,41.05
?,?,0.0,192.0,0.0,?,?,360,44.30
?,?,0.0,228.0,0.0,?,670.0,?,47.03
380.0,?,0.0,228.0,0.0,?,?,?,43.70
?,?,0.0,228.0,0.0,932.0,?,28,36.45
?,114.0,?,?,?,?,?,?,45.85
?,?,0.0,228.0,?,?,594.0,?,39.29
198.6,?,?,?,?,?,825.5,?,38.07
?,?,?,192.0,?,978.4,?,?,28.02
?,?,0.0,228.0,0.0,932.0,594.0,270,43.01
?,190.0,?,?,0.0,932.0,?,?,42.33
?,?,?,228.0,?,932.0,?,?,47.81
?,0.0,0.0,?,?,?,670.0,?,52.91
139.6,?,0.0,?,0.0,1047.0,?,90,39.36
342.0,38.0,?,?,0.0,?,670.0,365,56.14
380.0,?,0.0,228.0,?,?,?,90,40.56
475.0,?,?,?,0.0,?,594.0,?,42.62
?,?,?,228.0,0.0,?,594.0,?,41.84
?,?,?,192.0,?,?,806.9,?,28.24
?,209.4,0.0,192.0,0.0,?,806.9,?,8.06
139.6,209.4,?,192.0,?,?,?,?,44.21
?,?,0.0,?,0.0,932.0,670.0,?,52.52
380.0,0.0,0.0,?,?,932.0,?,270,53.30
380.0,?,0.0,?,0.0,?,594.0,270,41.15
342.0,38.0,?,228.0,?,932.0,?,?,52.12
427.5,?,?,?,0.0,932.0,594.0,28,37.43
?,?,?,?,0.0,932.0,?,7,38.60
?,?,?,?,?,?,670.0,365,55.26
?,114.0,?,228.0,?,?,?,365,52.91
?,132.4,?,192.0,?,?,?,?,41.72
475.0,?,?,228.0,?,?,?,270,42.13
190.0,190.0,0.0,?,?,932.0,?,365,53.69
237.5,?,?,228.0,0.0,?,?,?,38.41
237.5,237.5,0.0,?,0.0,?,?,28,30.08
?,?,0.0,?,?,?,594.0,?,37.72
?,?,0.0,228.0,0.0,?,594.0,?,42.23
?,237.5,0.0,?,?,932.0,?,?,36.25
?,?,0.0,228.0,?,932.0,?,?,50.46
427.5,?,0.0,?,?,932.0,594.0,365,43.70
237.5,?,0.0,?,0.0,?,594.0,?,39.00
?,0.0,0.0,228.0,0.0,932.0,670.0,?,53.10
?,47.5,?,?,0.0,932.0,594.0,?,41.54
427.5,?,?,?,?,932.0,?,?,35.08
349.0,0.0,0.0,?,?,1047.0,?,3,15.05
?,95.0,0.0,228.0,?,?,?,180,40.76
237.5,237.5,?,228.0,?,932.0,?,?,26.26
?,?,0.0,228.0,?,?,?,7,32.82
?,?,?,?,?,932.0,?,?,39.78
190.0,?,?,228.0,?,?,670.0,180,46.93
?,?,0.0,?,0.0,932.0,594.0,?,33.12
?,?,?,?,?,932.0,670.0,?,49.19
?,?,?,192.0,?,?,806.9,7,14.59
?,132.4,0.0,192.0,0.0,?,?,7,14.64
475.0,?,?,?,0.0,?,594.0,365,41.93
198.6,?,?,?,?,978.4,?,?,9.13
304.0,?,?,?,0.0,?,?,?,50.95
332.5,142.5,?,228.0,?,?,594.0,28,33.02
?,76.0,?,?,0.0,932.0,?,270,54.38
?,114.0,?,228.0,0.0,?,670.0,?,51.73
?,?,?,192.0,0.0,?,850.6,?,9.87
?,190.0,0.0,228.0,?,?,?,?,50.66
?,?,?,228.0,?,?,?,?,48.70
?,38.0,?,228.0,?,932.0,?,270,55.06
?,?,?,192.0,?,?,?,?,44.70
332.5,?,0.0,?,0.0,?,?,?,30.28
190.0,190.0,?,?,?,932.0,670.0,28,40.86
485.0,0.0,?,146.0,0.0,?,800.0,?,71.99
?,?,0.0,170.1,?,?,756.7,3,34.40
313.3,262.2,?,?,?,1046.9,611.8,3,28.80
?,?,0.0,?,16.5,?,887.1,?,33.40
?,106.3,0.0,151.4,18.6,?,?,3,36.30
?,?,0.0,126.6,23.4,852.1,992.6,3,29.00
?,?,?,?,?,852.1,781.5,?,37.80
469.0,?,?,137.8,?,?,?,?,40.20
?,?,?,153.5,?,?,887.1,?,33.40
388.6,?,0.0,?,?,?,?,?,28.10
?,?,?,?,28.2,?,?,?,41.30
425.0,106.3,?,?,16.5,852.1,?,?,33.40
?,?,0.0,155.7,14.3,852.1,?,?,25.20
?,94.7,0.0,147.4,11.4,?,?,?,41.10
?,?,?,?,?,?,?,?,35.30
323.7,?,?,?,?,?,?,?,28.30
?,?,0.0,?,?,?,?,?,28.60
362.6,?,?,164.9,11.6,?,?,?,35.30
?,?,?,?,?,?,?,?,24.40
362.6,?,0.0,164.9,?,944.7,755.8,3,35.30
?,?,0.0,?,?,?,707.9,?,39.30
389.9,189.0,0.0,?,?,944.7,755.8,3,40.60
362.6,?,0.0,164.9,?,?,?,3,35.30
?,?,?,?,9.5,?,?,?,24.10
?,?,0.0,?,?,926.1,?,?,46.20
?,?,?,175.5,?,1046.9,?,?,42.80
?,?,?,?,?,?,887.1,7,49.20
?,106.3,?,?,?,936.0,?,?,46.80
?,93.8,?,126.6,23.4,?,?,7,45.70
475.0,118.8,?,?,?,852.1,?,?,55.60
469.0,?,0.0,?,?,852.1,?,?,54.90
425.0,?,?,?,?,?,887.1,?,49.20
388.6,?,0.0,157.9,?,852.1,?,7,34.90
?,0.0,0.0,?,?,?,?,7,46.90
425.0,?,0.0,?,?,?,?,?,49.20
