15.26,?,0.871,5.763,?,2.221,5.22,1
?,14.57,?,?,3.333,1.018,?,1
14.29,14.09,0.905,5.291,?,?,4.825,1
?,?,?,5.324,3.379,?,?,1
16.14,14.99,0.9034,5.658,3.562,1.355,?,1
14.38,14.21,?,5.386,3.312,2.462,4.956,1
14.69,14.49,0.8799,?,3.259,3.586,5.219,1
14.11,14.1,0.8911,?,3.302,2.7,5,1
16.63,15.46,0.8747,?,3.465,2.04,?,1
16.44,?,0.888,5.884,?,?,5.533,1
?,14.85,0.8696,5.714,3.242,4.543,5.314,1
14.03,?,0.8796,?,?,1.717,5.001,1
13.89,14.02,?,5.439,3.199,3.986,4.738,1
?,?,0.8759,5.479,3.156,3.136,4.872,1
13.74,14.05,?,?,3.114,2.932,?,1
?,14.28,0.8993,?,3.333,?,4.781,1
13.99,13.83,0.9183,5.119,3.383,5.234,?,1
15.69,14.75,0.9058,5.527,?,1.599,5.046,1
14.7,14.21,0.9153,5.205,?,1.767,?,1
12.72,?,0.8686,?,?,4.102,?,1
14.16,14.4,?,5.658,?,?,5.176,1
14.11,?,?,5.52,3.168,2.688,5.219,1
?,14.9,0.8988,?,?,0.7651,5.091,1
12.08,13.23,0.8664,5.099,2.936,1.415,?,1
15.01,?,?,5.789,3.245,1.791,?,1
16.19,?,?,?,?,0.903,5.307,1
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,1
?,?,0.8564,?,?,2.504,4.869,1
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1
?,13.82,?,5.454,?,0.8551,5.056,1
15.49,?,0.8724,5.757,3.371,3.412,5.228,1
?,?,0.8529,?,3.186,3.92,5.299,1
13.94,14.17,?,5.585,3.15,2.124,5.012,1
15.05,14.68,0.8779,5.712,3.328,2.129,?,1
?,15,?,5.709,3.485,2.27,5.443,1
16.2,?,?,5.826,3.464,2.823,5.527,1
17.08,15.38,0.9079,5.832,?,?,5.484,1
?,14.52,0.8823,?,3.288,3.112,5.309,1
?,14.17,0.8944,?,?,6.685,5.001,1
13.54,13.85,?,5.348,3.156,2.587,5.178,1
13.5,13.85,0.8852,?,3.158,?,?,1
13.16,13.55,?,5.138,3.201,2.461,4.783,1
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1
