15.26,?,0.871,?,?,2.221,?,1
?,14.57,?,?,?,?,4.956,1
?,14.09,0.905,5.291,?,?,4.825,1
13.84,?,0.8955,?,?,?,4.805,1
16.14,?,0.9034,?,3.562,?,5.175,1
?,14.21,?,5.386,?,?,4.956,1
?,14.49,?,5.563,3.259,?,5.219,1
?,14.1,0.8911,5.42,3.302,2.7,5,1
?,?,?,?,3.465,2.04,?,1
?,?,0.888,5.884,3.505,?,5.533,1
15.26,?,0.8696,?,3.242,4.543,5.314,1
?,?,0.8796,?,3.201,?,?,1
?,?,?,?,?,3.986,?,1
13.78,14.06,0.8759,5.479,3.156,?,?,1
13.74,14.05,0.8744,?,3.114,2.932,4.825,1
14.59,?,0.8993,?,3.333,?,4.781,1
13.99,13.83,?,?,3.383,?,?,1
15.69,?,?,5.527,3.514,1.599,?,1
?,14.21,0.9153,5.205,3.466,?,?,1
?,13.57,0.8686,5.226,?,4.102,4.914,1
14.16,?,?,?,3.129,3.072,?,1
14.11,14.26,?,5.52,?,?,5.219,1
15.88,?,0.8988,?,3.507,0.7651,?,1
12.08,?,0.8664,?,?,?,4.961,1
15.01,14.76,0.8657,?,?,?,?,1
16.19,15.16,?,?,3.421,?,5.307,1
13.02,?,?,5.395,3.026,3.373,4.825,1
12.74,13.67,0.8564,5.395,?,2.504,4.869,1
?,?,0.882,5.541,3.221,?,?,1
13.45,?,0.8604,5.516,?,3.531,5.097,1
13.16,13.82,0.8662,5.454,2.975,0.8551,?,1
?,14.94,0.8724,5.757,3.371,3.412,?,1
14.09,?,0.8529,?,3.186,?,5.299,1
?,14.17,0.8728,5.585,?,?,?,1
?,?,0.8779,?,?,?,?,1
16.12,15,?,?,?,?,?,1
16.2,15.27,?,5.826,3.464,2.823,5.527,1
?,15.38,0.9079,5.832,?,2.956,?,1
?,14.52,?,5.656,?,3.112,5.309,1
?,14.17,0.8944,?,?,6.685,?,1
?,13.85,?,?,?,2.587,?,1
?,?,?,5.351,3.158,?,5.176,1
13.16,?,0.9009,?,3.201,2.461,4.783,1
15.5,?,0.882,?,3.396,4.711,?,1
15.11,14.54,?,?,?,3.128,5.18,1
13.8,14.04,?,?,?,?,?,1
?,?,?,?,?,1.367,5.132,1
14.99,?,0.8883,?,3.377,2.958,5.175,1
