? State-gov ? Bachelors 13 ? Adm-clerical Not-in-family ? Male 2174 ? ? United-States <=50K 
50 ? ? ? ? ? Exec-managerial Husband ? Male ? 0 13 ? <=50K 
38 Private ? ? 9 ? Handlers-cleaners Not-in-family White ? ? ? ? ? <=50K 
? ? ? ? 7 ? ? Husband ? ? 0 ? ? ? <=50K 
? ? 338409 ? 13 Married-civ-spouse ? Wife Black Female ? ? ? Cuba <=50K 
? ? ? ? ? ? ? Wife White Female ? ? ? United-States <=50K 
49 ? ? ? 5 ? Other-service Not-in-family Black Female 0 0 16 Jamaica <=50K 
? ? ? ? 9 ? Exec-managerial ? ? ? ? 0 ? ? >50K 
? ? 45781 ? ? ? ? ? ? ? ? ? ? ? >50K 
? ? ? ? ? Married-civ-spouse ? Husband ? ? 5178 ? ? ? >50K 
? Private ? ? ? ? Exec-managerial Husband Black ? ? ? ? ? >50K 
? State-gov 141297 ? 13 ? Prof-specialty ? Asian-Pac-Islander ? ? 0 ? India >50K 
23 Private ? ? ? ? ? ? White Female 0 ? 30 United-States <=50K 
? ? ? ? ? ? Sales Not-in-family Black ? 0 ? ? United-States <=50K 
? ? ? Assoc-voc 11 ? ? ? Asian-Pac-Islander Male ? ? 40 ? >50K 
34 ? ? ? ? ? Transport-moving ? Amer-Indian-Eskimo ? 0 ? 45 Mexico <=50K 
25 Self-emp-not-inc ? ? ? ? ? ? ? ? ? ? 35 United-States <=50K 
? ? ? HS-grad 9 ? ? Unmarried White ? ? 0 ? ? <=50K 
? ? ? ? ? ? ? ? White Male ? ? 50 United-States <=50K 
? Self-emp-not-inc 292175 Masters ? Divorced Exec-managerial ? ? ? 0 ? ? ? >50K 
40 Private ? ? 16 Married-civ-spouse ? Husband White ? 0 0 60 ? >50K 
54 ? ? ? 9 ? ? Unmarried ? Female ? 0 ? ? <=50K 
? ? 76845 9th ? Married-civ-spouse ? Husband Black ? 0 0 ? ? <=50K 
? ? ? ? ? Married-civ-spouse Transport-moving ? ? ? 0 2042 40 ? <=50K 
? ? 109015 HS-grad 9 Divorced ? ? White Female 0 0 40 ? <=50K 
? Local-gov 216851 Bachelors ? ? ? ? White Male 0 0 40 ? >50K 
19 Private ? ? 9 ? ? ? White ? 0 ? ? United-States <=50K 
? ? ? Some-college ? ? ? ? Asian-Pac-Islander Male ? 0 ? ? >50K 
? ? 367260 ? 9 Divorced Exec-managerial Not-in-family ? Male 0 ? ? United-States <=50K 
? ? 193366 HS-grad 9 Married-civ-spouse ? Husband White ? ? 0 ? United-States <=50K 
23 Local-gov ? ? ? ? ? Not-in-family White Male ? ? 52 ? <=50K 
? Private ? ? 10 Never-married Sales ? ? ? ? ? 44 ? <=50K 
45 ? ? ? 13 ? Exec-managerial Own-child ? Male ? ? ? ? <=50K 
