0.49,0.29,0.48,?,?,0.24,0.35,cp
0.07,?,?,0.50,?,0.35,0.44,cp
0.56,0.40,0.48,0.50,?,0.37,?,cp
?,?,?,0.50,?,?,?,cp
0.23,0.32,?,0.50,?,?,0.35,cp
0.67,?,0.48,?,?,0.38,?,cp
0.29,?,0.48,0.50,0.44,?,0.34,cp
0.21,0.34,?,?,0.51,0.28,?,cp
0.20,0.44,?,0.50,?,?,?,cp
0.42,?,?,0.50,0.56,0.18,?,cp
?,0.24,?,0.50,?,?,?,cp
0.25,0.48,?,?,0.44,?,?,cp
?,?,?,0.50,0.46,0.24,0.35,cp
?,?,?,0.50,0.46,0.32,?,cp
0.22,0.43,0.48,0.50,?,0.16,0.28,cp
?,0.40,?,?,0.46,0.44,?,cp
?,0.45,?,?,0.38,0.24,0.35,cp
0.44,0.27,0.48,0.50,?,0.52,0.58,cp
0.23,?,?,?,0.39,0.28,?,cp
0.41,?,0.48,0.50,0.39,?,0.32,cp
0.40,0.45,?,0.50,0.38,0.22,0.00,cp
0.31,0.23,0.48,?,0.73,0.05,?,cp
0.51,0.54,?,0.50,0.41,0.34,0.43,cp
?,0.16,0.48,0.50,0.56,?,0.23,cp
0.36,0.39,0.48,?,0.48,?,0.23,cp
0.29,0.37,?,?,?,?,0.52,cp
?,0.40,0.48,0.50,0.47,?,?,cp
0.21,0.51,?,?,?,0.32,0.41,cp
0.43,?,0.48,?,0.53,0.35,?,cp
0.43,0.39,?,?,?,?,0.41,cp
?,?,?,0.50,?,0.26,0.36,cp
?,?,0.48,0.50,0.38,?,0.44,cp
0.56,?,0.48,0.50,?,?,?,cp
0.40,?,0.48,?,?,0.35,?,cp
0.24,?,0.48,0.50,0.31,0.19,0.31,cp
?,?,?,0.50,?,0.38,?,cp
0.29,0.52,0.48,?,0.42,?,?,cp
?,?,0.48,0.50,0.59,0.30,0.40,cp
?,0.42,0.48,0.50,?,?,?,cp
0.38,?,0.48,0.50,?,0.22,0.29,cp
0.33,0.45,?,?,?,?,?,cp
0.30,?,?,0.50,0.59,?,?,cp
0.40,?,0.48,0.50,?,?,?,cp
?,?,0.48,0.50,0.50,0.33,0.42,cp
0.61,?,?,0.50,?,?,0.41,cp
0.17,?,?,0.50,?,0.42,0.50,cp
0.44,0.35,?,0.50,0.55,?,0.61,cp
0.43,?,0.48,?,0.39,0.28,?,cp
0.42,0.35,0.48,0.50,?,0.15,?,cp
0.23,?,?,0.50,0.43,0.33,?,cp
0.37,?,0.48,0.50,?,0.42,0.36,cp
