0.49,0.29,0.48,0.50,?,?,?,cp
?,0.40,?,?,0.54,?,?,cp
0.56,0.40,?,0.50,0.49,0.37,0.46,cp
?,0.49,0.48,0.50,0.52,0.45,0.36,cp
?,0.32,0.48,?,?,?,0.35,cp
0.67,0.39,0.48,0.50,0.36,0.38,0.46,cp
?,0.28,0.48,0.50,0.44,0.23,0.34,cp
0.21,0.34,0.48,0.50,0.51,0.28,0.39,cp
0.20,0.44,0.48,0.50,?,?,0.57,cp
0.42,0.40,0.48,0.50,?,0.18,0.30,cp
0.42,?,?,0.50,0.57,0.27,0.37,cp
0.25,0.48,0.48,0.50,0.44,0.17,?,cp
?,0.32,?,?,0.46,0.24,0.35,cp
0.51,0.50,0.48,?,0.46,0.32,0.35,cp
0.22,?,0.48,?,0.48,0.16,0.28,cp
0.25,?,?,0.50,0.46,0.44,0.52,cp
?,0.45,?,?,0.38,0.24,0.35,cp
0.44,0.27,0.48,0.50,0.55,0.52,?,cp
?,0.40,0.48,0.50,0.39,0.28,0.38,cp
0.41,0.57,?,0.50,?,0.21,0.32,cp
0.40,0.45,0.48,?,0.38,0.22,0.00,cp
0.31,0.23,0.48,0.50,0.73,0.05,0.14,cp
?,?,0.48,0.50,?,?,0.43,cp
?,0.16,0.48,0.50,0.56,0.11,0.23,cp
?,0.39,0.48,0.50,0.48,0.22,0.23,cp
0.29,0.37,0.48,0.50,?,0.44,0.52,cp
0.25,0.40,?,0.50,0.47,0.33,0.42,cp
0.21,0.51,0.48,0.50,0.50,0.32,?,cp
?,0.37,0.48,0.50,0.53,0.35,0.44,cp
0.43,?,0.48,0.50,0.47,0.31,0.41,cp
0.53,0.38,0.48,0.50,0.44,0.26,?,cp
0.34,0.33,0.48,0.50,0.38,0.35,0.44,cp
0.56,0.51,0.48,0.50,0.34,0.37,?,cp
?,0.29,0.48,?,0.42,0.35,0.44,cp
0.24,0.35,0.48,0.50,0.31,?,0.31,cp
?,?,0.48,0.50,?,0.38,?,cp
0.29,0.52,?,0.50,0.42,?,0.39,cp
